no.,start,end
1,20.6,25.82
2,26,34.6
3,34.7,40.95
4,41,48.71
5,49.1,55.61
6,56.15,62.25
7,62.3,67.32
8,68.44,74.93
9,93.84,98.9
10,99.13,105.09
11,118.1,123.45
12,123.6,131.52
13,133.6,138.8
14,138.9,144.75
15,145.4,149.8
16,149.9,155.42
17,156.1,160.9
18,161,167.35
19,168.1,173.69
20,173.92,180.53
21,186.2,191.4
22,192.53,199.09
23,199.4,205.3
24,205.4,210.91
25,211.4,215.8
26,215.9,222.26
27,236,241
28,283.8,290.18
29,290.9,298.08
30,298.4,305.67
31,305.77,311.93
32,312,317.55
33,317.8,323.8
34,323.9,329.1
35,329.2,335.72
36,336,342.4
37,342.5,349.94
38,354.4,360.1
39,360.75,366.43
40,367.22,372.68
41,373,378.84
42,379.1,384.9
43,385,390.75
44,391,396.92
45,397,404.29
46,404.52,410.78
47,411.15,418.98
48,419.87,426.35
49,431.77,438.89
50,439,444.9
51,445.62,452.71
52,453,458.39
53,458.7,464.63
54,464.87,470.95
55,471,477.83
56,477.95,484.36
57,484.57,494.46
58,495.68,501.98
59,502.97,509.88
60,510.3,515.81
61,516.9,522.35
62,522.76,528.89
63,529.1,536.9
64,537,543.6
65,543.7,550.69
66,551.2,557.15
67,557.9,565.64
68,581.2,590.7
69,590.8,599.16
70,599.3,608.02
71,608.38,617.07
72,617.68,625.08
73,626.01,634.06
74,634.56,642.25
75,642.66,652.03
76,652.31,661.42
77,662.37,672.77
78,676.65,684.26
79,684.83,692.33
80,694,702.68
81,706.47,713.2
82,713.99,724.42
83,725.18,732.72
84,734.03,743.07
85,744.5,752.51
86,754.99,762.29
87,763.04,769.84
88,806,816.86
89,817,827.61
90,828.2,842.18
91,842.2,854.6
92,855,863.15
93,864.1,873.38
94,874.45,886.57
95,887,895.54
96,895.8,905.38
97,905.6,913.33
98,913.5,921.84
99,922.5,930.78
100,931,939.21
101,939.4,947.5
102,947.6,957.7
103,958,963.42
104,963.6,973.27
105,973.4,986.9
106,987,995.93
107,996.5,1005.15
108,1005.3,1014.29
109,1099.2,1108.74
110,1109,1116
111,1116.1,1125.2
112,1125.3,1131.97
113,1132,1139.6
114,1139.7,1147.69
115,1147.9,1154.94
116,1155.47,1163.59
117,1164.29,1171.89
118,1172.84,1183.4
119,1183.84,1193.4
120,1194.38,1201.58
121,1202.08,1210.03
122,1210.83,1218.04
123,1219.82,1227.93
124,1228.94,1236.73
125,1237.46,1246.07
126,1246.58,1255.15
127,1255.48,1263.79
128,1264.74,1271.34
129,1291.86,1298.15
130,1301.66,1311.87
131,1312.7,1322.97
132,1323.88,1331.09
133,1331.7,1340.52
134,1341.34,1350.16
135,1351.1,1359.42
136,1359.99,1369.69
137,1370.39,1379.07
138,1380.14,1390.01
139,1411.32,1422.18
140,1487.99,1495.47
141,1496.08,1503.83
142,1505.28,1514.17
143,1514.93,1525.77
144,1527.17,1538.27
145,1538.74,1547.99
146,1548.72,1556.51
147,1557.74,1565.91
148,1568.01,1576.71
149,1577.87,1586.24
150,1588.06,1596.47
151,1609.9,1619.02
152,1620.3,1630.02
153,1630.38,1640.53
154,1640.77,1648.9
155,1669,1675.93
156,1677.14,1684.7
157,1685.05,1694.26
158,1694.71,1702.72
159,1708.85,1717.1
160,1717.5,1725.95
161,1738.54,1747.5
162,1747.74,1754.5
163,1754.99,1761.76
164,1762.34,1769.86
165,1770.19,1777.09
166,1777.82,1783.56
167,1783.69,1789.61
168,1789.89,1797.32
169,1797.42,1803.2
170,1803.5,1809.2
171,1837.28,1843.18
172,1843.75,1850.4
173,1851.62,1858.3
174,1858.4,1865.37
175,1868.17,1875.92
176,1876.28,1886.95
177,1887.27,1894.64
178,1895.53,1903.8
179,1904.14,1911.42
180,1911.63,1919.07
181,1926.98,1934.43
182,1934.89,1943.8
183,1944.06,1951.39
184,1952.01,1960.97
185,1961.54,1970.42
186,1970.79,1978.98
187,1979.75,1991.74
188,1992.4,2000.42
189,2000.82,2010.91
190,2011.75,2014.67
191,2097.36,2107.19
192,2107.36,2118.71
193,2119,2128.75
194,2128.92,2140.06
195,2140.73,2150.09
196,2153.92,2164.6
197,2165.3,2174.61
198,2179.07,2190.08
199,2190.65,2202.28
